geometry
"[(289271.4108000025, 3992922.9745999984)]"
"[(367601.2771999985, 3993790.657200001)]"
"[(284717.72299999744, 3993863.8266000003)]"
"[(296463.57549999654, 3994253.8396000005)]"
"[(399324.55529999733, 3994344.1316)]"
"[(300250.80390000343, 3994601.001600001)]"
"[(333350.04609999806, 3994894.311900001)]"
"[(310586.59359999746, 3994925.4305000007)]"
"[(324843.804899998, 3994945.1308999993)]"
"[(288028.5667999983, 3994953.3181000017)]"
"[(329904.77049999684, 3995087.1481)]"
"[(311540.06170000136, 3995104.6570000015)]"
"[(316152.17610000074, 3995139.2408999987)]"
"[(344647.49140000343, 3995212.031300001)]"
"[(315397.25720000267, 3996006.0353000015)]"
"[(292418.60059999675, 3996200.0056000017)]"
"[(400443.15940000117, 3996213.5042000003)]"
"[(322958.1453000009, 3997012.3669999987)]"
"[(353894.26470000297, 3997020.5480000004)]"
"[(388619.23529999703, 3997498.4897999987)]"
"[(349983.37420000136, 3997539.3022999987)]"
"[(318028.0449000001, 3998281.851599999)]"
"[(289170.24819999933, 3998719.3418000005)]"
"[(338138.33139999956, 3999755.803100001)]"
"[(299706.564199999, 3999924.3790999986)]"
"[(375837.2180000022, 4000138.7124000005)]"
"[(319135.7057000026, 4000142.979800001)]"
"[(310725.83359999955, 4000199.9230000004)]"
"[(333685.2233000025, 4000337.1174000017)]"
"[(312257.63660000265, 4000341.7027000003)]"
"[(305108.83860000223, 4000547.2688000016)]"
"[(396583.07630000263, 4001491.1937000006)]"
"[(302616.84329999983, 4002030.580600001)]"
"[(331161.73900000006, 4002373.3577999994)]"
"[(312453.78819999844, 4002441.9926000014)]"
"[(315161.757600002, 4002539.1865000017)]"
"[(309707.21389999986, 4003434.5047000013)]"
"[(306157.84369999915, 4004148.949099999)]"
"[(315639.26150000095, 4004333.5341)]"
"[(411826.8202000037, 4004377.4228000008)]"
"[(409110.9240999967, 4004431.720400002)]"
"[(311473.5257000029, 4004587.4952999987)]"
"[(390733.76950000226, 4004742.1587000005)]"
"[(410108.4020999968, 4005147.423700001)]"
"[(307558.51879999787, 4005430.0628000014)]"
"[(409349.28180000186, 4005715.023699999)]"
"[(423616.21559999883, 4005819.4941999987)]"
"[(423614.98569999635, 4005824.3433)]"
"[(382198.29839999974, 4006303.6405000016)]"
"[(382198.29839999974, 4006303.6405000016)]"
"[(344535.0604000017, 4006555.4912)]"
"[(338096.59430000186, 4006678.024700001)]"
"[(360812.88589999825, 4006943.0758999996)]"
"[(356561.5469999984, 4007037.9188)]"
"[(359633.75460000336, 4007047.135400001)]"
"[(310750.82349999994, 4007123.8071999997)]"
"[(344718.825000003, 4007165.722100001)]"
"[(369011.23430000246, 4007675.5066)]"
"[(369015.1881000027, 4007678.1816999987)]"
"[(316769.684299998, 4008048.5808000006)]"
"[(322633.95390000194, 4008241.3467999995)]"
"[(335454.5979000032, 4008418.8823000006)]"
"[(370219.7756000012, 4008895.9882000014)]"
"[(401189.89289999753, 4008972.7349999994)]"
"[(341660.8154999986, 4009346.298700001)]"
"[(370017.1076999977, 4009414.1196000017)]"
"[(353437.49599999934, 4010545.3944999985)]"
"[(317220.3849000037, 4010561.591699999)]"
"[(304928.2921999991, 4010897.8867999986)]"
"[(395401.052199997, 4010950.6675999984)]"
"[(335303.5256000012, 4011648.088300001)]"
"[(379859.3078000024, 4011654.497299999)]"
"[(339845.31390000135, 4011663.3522000015)]"
"[(360250.3945999965, 4011816.0282999985)]"
"[(386446.6442999989, 4011943.482900001)]"
"[(372599.05409999937, 4012432.2732000016)]"
"[(329157.70180000365, 4012507.874400001)]"
"[(321119.91420000046, 4012568.4122)]"
"[(418024.9592999965, 4013397.961100001)]"
"[(304814.2577000037, 4014164.4351000004)]"
"[(334053.2577000037, 4014351.0363)]"
"[(345326.9043999985, 4014636.9963999987)]"
"[(323140.07680000365, 4014823.4415000007)]"
"[(374293.57379999757, 4015045.6422999986)]"
"[(320098.5295000002, 4015801.6369000003)]"
"[(308164.06599999964, 4015917.292800002)]"
"[(395321.0549999997, 4015975.763799999)]"
"[(353190.2195999995, 4015987.4307000004)]"
"[(404333.4852000028, 4016388.5513000004)]"
"[(368093.54339999706, 4016461.3801999986)]"
"[(398208.82720000297, 4016531.4937000014)]"
"[(391187.7013999969, 4016920.523600001)]"
"[(363623.0826999992, 4018233.5522999987)]"
"[(304662.2136999965, 4018519.7773)]"
"[(324313.37569999695, 4018955.3874000013)]"
"[(351292.02170000225, 4018963.9120000005)]"
"[(379527.9250999987, 4019273.8839000016)]"
"[(368930.5552000031, 4019299.2366000004)]"
"[(375198.7431000024, 4019662.2430000007)]"
"[(387050.1542999968, 4020629.4235999994)]"
"[(380068.33900000155, 4020751.0797999986)]"
"[(395884.5498000011, 4020873.1209000014)]"
"[(310891.5498000011, 4020919.8249000013)]"
"[(333161.1682000011, 4021163.9787999988)]"
"[(318097.47349999845, 4021179.5758999996)]"
"[(434508.9003000036, 4021184.1904000007)]"
"[(441731.09120000154, 4021219.6083999984)]"
"[(345871.4421999976, 4021396.9354000017)]"
"[(354515.8227000013, 4021798.449000001)]"
"[(361730.9359000027, 4021854.7490999997)]"
"[(380107.3232000023, 4022548.8713000007)]"
"[(319550.63099999726, 4022628.150600001)]"
"[(311750.059299998, 4022890.9712000005)]"
"[(436127.7624000013, 4022919.3625999987)]"
"[(388391.5689999983, 4022935.6081999987)]"
"[(383243.08829999715, 4023056.859099999)]"
"[(393794.76839999855, 4023177.8704000004)]"
"[(419324.8721999973, 4023386.252700001)]"
"[(424558.2857000008, 4023421.2677999996)]"
"[(437105.65129999816, 4023422.5456999987)]"
"[(372039.0226999968, 4023444.1772000007)]"
"[(366694.92350000143, 4023959.3707999997)]"
"[(413605.1908000037, 4024094.7993)]"
"[(325653.11940000206, 4024151.220899999)]"
"[(338637.8272999972, 4024155.1052)]"
"[(402820.5095999986, 4024226.210999999)]"
"[(339317.89180000126, 4024522.800999999)]"
"[(349255.55160000175, 4024748.298700001)]"
"[(359250.19690000266, 4025132.493900001)]"
"[(389194.9623000026, 4025152.5527999997)]"
"[(412637.8169, 4025466.8916000016)]"
"[(330267.1248999983, 4025992.8121000007)]"
"[(399543.8931000009, 4026111.3575999998)]"
"[(353797.8616999984, 4026152.6081999987)]"
"[(399603.44089999795, 4026386.7415999994)]"
"[(385799.7100000009, 4026452.1072999984)]"
"[(346475.2949000001, 4026632.7052000016)]"
"[(312174.87789999694, 4027143.6449000016)]"
"[(433908.30910000205, 4027808.405200001)]"
"[(444785.7999000028, 4027898.4316000007)]"
"[(317848.5785000026, 4028006.0276999995)]"
"[(377433.03170000017, 4028048.8126000017)]"
"[(394788.66920000315, 4028130.4750000015)]"
"[(390246.2072999999, 4028471.227600001)]"
"[(307638.5350999981, 4028762.5931)]"
"[(366851.7013999969, 4028807.4996000007)]"
"[(319619.47420000285, 4028866.6147000007)]"
"[(399218.74180000275, 4028877.532499999)]"
"[(324861.564199999, 4029180.3291000016)]"
"[(412744.2374000028, 4029507.5018000007)]"
"[(427125.2146999985, 4029982.2346)]"
"[(314784.9408000037, 4030238.7236)]"
"[(338749.18389999866, 4030570.3178999983)]"
"[(416904.9231000021, 4030578.0923999995)]"
"[(369095.0393999964, 4031184.4844999984)]"
"[(324937.82329999655, 4031243.6700999998)]"
"[(357998.6797000021, 4031448.8625999987)]"
"[(331532.4425000027, 4031492.065200001)]"
"[(459621.307599999, 4031679.1338)]"
"[(430651.03819999844, 4032192.2529000007)]"
"[(349206.2899999991, 4032727.5837000012)]"
"[(438068.7475999966, 4032816.1937999986)]"
"[(334783.9822999984, 4032924.6812999994)]"
"[(406785.24599999934, 4032935.5665000007)]"
"[(344134.4375, 4033398.0243999995)]"
"[(455142.59700000286, 4033658.686900001)]"
"[(353997.2229000032, 4033673.2586000003)]"
"[(330348.98690000176, 4033714.798700001)]"
"[(371582.1705000028, 4034154.7723000012)]"
"[(452212.4069999978, 4034509.7512000017)]"
"[(444323.59420000017, 4034660.1545)]"
"[(380746.1997999996, 4034768.583299998)]"
"[(388400.4975999966, 4034877.5053000003)]"
"[(318493.8294999972, 4035006.7069000006)]"
"[(456067.9354000017, 4035278.0485999994)]"
"[(456048.81069999933, 4035298.8662)]"
"[(397446.09660000354, 4036103.4761000015)]"
"[(359873.0151000023, 4036250.6642999984)]"
"[(401916.6569999978, 4036272.6427000016)]"
"[(426261.9145999998, 4036460.3247999996)]"
"[(426257.84120000154, 4036462.5251)]"
"[(388376.3606000021, 4037439.164900001)]"
"[(403299.9853999987, 4038117.5557000004)]"
"[(320774.74549999833, 4038357.649500001)]"
"[(382271.4073000029, 4039022.860800002)]"
"[(316363.8483000025, 4039104.3630000018)]"
"[(386765.7802999988, 4039221.3521)]"
"[(419729.5744000003, 4039330.3280999996)]"
"[(429341.67809999734, 4039908.120099999)]"
"[(389965.37579999864, 4039974.770799998)]"
"[(449886.9096999988, 4040422.0271000005)]"
"[(373204.5702999979, 4040447.2529000007)]"
"[(359868.9487000033, 4040488.7360999994)]"
"[(359872.80420000106, 4040491.2941999994)]"
"[(444675.9069999978, 4041354.2294999994)]"
"[(412551.9421999976, 4041556.4124)]"
"[(394134.30160000175, 4042247.8552)]"
"[(361486.67809999734, 4042289.4398999996)]"
"[(389829.427199997, 4042607.7399000004)]"
"[(348264.60909999907, 4043200.419399999)]"
"[(364711.8867999986, 4043296.295600001)]"
"[(436918.17159999907, 4043339.328499999)]"
"[(386575.07670000196, 4043514.2544)]"
"[(361073.5134000033, 4043569.8134000003)]"
"[(443330.90900000185, 4043978.806400001)]"
"[(399450.2427000031, 4044069.1422999986)]"
"[(427050.1445999965, 4044376.523699999)]"
"[(338541.34589999914, 4044481.5374)]"
"[(399998.1098999977, 4045272.1248000003)]"
"[(411600.48789999634, 4045486.1037999988)]"
"[(391601.18879999965, 4045849.7950999998)]"
"[(380424.4113000035, 4046248.0647)]"
"[(419473.1489999965, 4046516.5353999995)]"
"[(464460.2343999967, 4046656.500599999)]"
"[(434062.88859999925, 4048214.0117000006)]"
"[(425354.78170000017, 4048293.150199998)]"
"[(422505.49660000205, 4048953.7501999997)]"
"[(426725.38660000265, 4049159.788400002)]"
"[(364279.60620000213, 4049318.8093999997)]"
"[(374341.99319999665, 4049582.5819999985)]"
"[(410081.22360000014, 4050976.525800001)]"
"[(388279.0505999997, 4051720.4037000015)]"
"[(428476.76839999855, 4051972.7228000015)]"
"[(414776.4073000029, 4052508.0108000003)]"
"[(314253.9081000015, 4052654.4058)]"
"[(368173.03109999746, 4052953.4309)]"
"[(395679.23309999704, 4053144.582800001)]"
"[(451805.78660000116, 4053262.985800002)]"
"[(468559.66870000213, 4054149.9963999987)]"
"[(381584.2531000003, 4054673.5089999996)]"
"[(358167.7749999985, 4055770.390299998)]"
"[(335051.2141999975, 4057064.7556000017)]"
"[(400851.5, 4057125.742899999)]"
"[(360471.35180000216, 4058082.2580999993)]"
"[(431779.8718999997, 4058287.9089)]"
"[(385910.0384000018, 4058484.836100001)]"
"[(404240.876699999, 4058555.1352999993)]"
"[(372426.9117999971, 4058586.568500001)]"
"[(396119.26200000197, 4059271.5249999985)]"
"[(378117.3122999966, 4059741.464899998)]"
"[(393901.13589999825, 4060624.6163000017)]"
"[(451072.47829999775, 4061144.5331999995)]"
"[(300477.4629999995, 4061250.8356)]"
"[(435151.7404000014, 4061335.7293)]"
"[(411566.1225999966, 4061407.4816999994)]"
"[(436694.4479999989, 4061580.0537)]"
"[(420982.01590000093, 4061629.8011000007)]"
"[(361780.64350000024, 4061807.7837000005)]"
"[(382555.1634000018, 4063243.3861999996)]"
"[(318342.0797000006, 4063704.204)]"
"[(439095.4487000033, 4063868.4798999988)]"
"[(395417.8945999965, 4064015.9668000005)]"
"[(416813.30889999866, 4064417.0315999985)]"
"[(405759.94829999655, 4064514.9952000007)]"
"[(424577.0693999976, 4064766.5524999984)]"
"[(407811.0947000012, 4064829.223099999)]"
"[(414179.34220000356, 4065021.673700001)]"
"[(368917.5399999991, 4065051.9952000007)]"
"[(427827.88970000297, 4065138.297699999)]"
"[(457312.58579999954, 4065398.081799999)]"
"[(416455.8515999988, 4065501.4026999995)]"
"[(443541.1261000037, 4065501.5901000015)]"
"[(393382.23529999703, 4066126.2635999992)]"
"[(412923.3584000021, 4066499.5797000006)]"
"[(431260.27690000087, 4066573.3707999997)]"
"[(465058.3457000032, 4066638.7360000014)]"
"[(447033.23110000044, 4067306.043900002)]"
"[(369054.5842999965, 4067529.6292999983)]"
"[(420513.2370999977, 4067780.1435000002)]"
"[(439555.5918999985, 4068245.655699998)]"
"[(343590.24610000104, 4068300.4162999988)]"
"[(452136.8778000027, 4068323.1253999993)]"
"[(304705.49920000136, 4068665.0397000015)]"
"[(464282.0547999963, 4069399.2118999995)]"
"[(365306.19370000064, 4069794.8106000014)]"
"[(432140.9231000021, 4070172.8927000016)]"
"[(415187.70440000296, 4070228.415100001)]"
"[(443605.2126000002, 4071100.5929999985)]"
"[(379603.20099999756, 4071182.781800002)]"
"[(373673.6335000023, 4071361.472199999)]"
"[(422663.98900000006, 4071374.708900001)]"
"[(462079.6031000018, 4071901.4404000007)]"
"[(384018.65100000054, 4071976.860800002)]"
"[(463104.94160000235, 4072040.1242999993)]"
"[(425834.62039999664, 4072190.1796999983)]"
"[(408193.1432000026, 4072361.156199999)]"
"[(412114.62430000305, 4072557.5080999993)]"
"[(371879.3342999965, 4072614.5868999995)]"
"[(446587.75940000266, 4072991.2705999985)]"
"[(446115.6142999977, 4073269.1204000004)]"
"[(402278.5398000032, 4073731.500500001)]"
"[(465806.51399999857, 4073889.4683)]"
"[(360104.40410000086, 4074058.415100001)]"
"[(468970.69420000166, 4074172.8159000017)]"
"[(383941.2308000028, 4074535.9021999985)]"
"[(428226.12640000135, 4074537.8125)]"
"[(418203.7217999995, 4074703.025699999)]"
"[(390650.3501999974, 4074944.6152999997)]"
"[(355940.5574000031, 4074998.5676000006)]"
"[(435122.11659999937, 4075001.101399999)]"
"[(461161.8857000023, 4075310.726300001)]"
"[(424024.4399000034, 4075495.0518999994)]"
"[(456743.55579999834, 4075687.732000001)]"
"[(410718.29630000144, 4076035.6147000007)]"
"[(470970.2885000035, 4076536.1948000006)]"
"[(441780.48139999807, 4076777.604600001)]"
"[(404896.38970000297, 4077233.9769)]"
"[(414119.23799999803, 4077560.6295999996)]"
"[(424625.35440000147, 4077698.1229999997)]"
"[(304386.91529999673, 4077737.2353000008)]"
"[(387475.37900000066, 4077746.3048)]"
"[(307366.8854999989, 4077842.067400001)]"
"[(464880.2497999966, 4077952.9415999986)]"
"[(399392.0490999967, 4077960.0681999996)]"
"[(435148.2928000018, 4078590.8654000014)]"
"[(486906.69319999963, 4078747.7679000013)]"
"[(460828.63870000094, 4079045.6457)]"
"[(376924.45589999855, 4079134.7069999985)]"
"[(454967.9048999995, 4079248.6955999993)]"
"[(476759.26829999685, 4079656.480700001)]"
"[(451372.5974000022, 4080064.2476000004)]"
"[(371774.85869999975, 4080068.026700001)]"
"[(383206.4765999988, 4080106.7512999997)]"
"[(467748.5654999986, 4080180.017099999)]"
"[(444668.2991999984, 4081004.7432999983)]"
"[(317703.4202999994, 4081121.9668999985)]"
"[(401283.9078999981, 4081646.100900002)]"
"[(401263.68370000273, 4081651.1620000005)]"
"[(365154.8376000002, 4081901.717599999)]"
"[(421340.4327000007, 4082162.063099999)]"
"[(445294.11029999703, 4082291.8156000003)]"
"[(413545.9576999992, 4082429.9373999983)]"
"[(405782.6084000021, 4082610.8216999993)]"
"[(471430.6906000003, 4082921.466400001)]"
"[(434967.0703999996, 4083271.805300001)]"
"[(471467.42379999906, 4083400.208999999)]"
"[(378334.39190000296, 4083797.4886999987)]"
"[(431913.05139999837, 4083926.0975)]"
"[(481758.25829999894, 4084329.7564999983)]"
"[(383258.07450000197, 4084501.352600001)]"
"[(395254.95880000293, 4084555.5078999996)]"
"[(365017.2232000008, 4085166.7892000005)]"
"[(314563.4733000025, 4085367.5577999987)]"
"[(442956.9038999975, 4085530.9739999995)]"
"[(385863.7100000009, 4085743.431400001)]"
"[(407981.63130000234, 4085993.8839000016)]"
"[(418703.435800001, 4086265.7410000004)]"
"[(374444.4574000016, 4086387.0165)]"
"[(409812.6953999996, 4086746.7743999995)]"
"[(442092.01680000126, 4087267.7452000007)]"
"[(414254.9796999991, 4087284.1334999986)]"
"[(433013.6626999974, 4087373.0830000006)]"
"[(382370.1226999983, 4087769.2335)]"
"[(339823.67660000175, 4088139.2509000003)]"
"[(422892.7678000033, 4088192.5011)]"
"[(444459.92099999636, 4088269.432599999)]"
"[(402149.8724000007, 4088283.762699999)]"
"[(363092.0341999978, 4088356.6865999997)]"
"[(391924.2529999986, 4088414.5546000004)]"
"[(439381.97349999845, 4088829.6898999996)]"
"[(428728.05590000004, 4089351.9243)]"
"[(309341.2078000009, 4089539.480900001)]"
"[(418846.8074999973, 4089784.386599999)]"
"[(403750.3176999986, 4090266.6303999983)]"
"[(403750.3176999986, 4090266.6303999983)]"
"[(367468.5270999968, 4090721.935899999)]"
"[(371936.2145999968, 4090912.778900001)]"
"[(397896.83860000223, 4090976.982900001)]"
"[(429948.29420000315, 4090994.0124000013)]"
"[(399747.81379999965, 4091225.8506000005)]"
"[(374002.46169999987, 4091364.901900001)]"
"[(426143.8501999974, 4091492.952399999)]"
"[(308369.9545999989, 4091684.824099999)]"
"[(417917.98369999975, 4091767.978599999)]"
"[(436570.1542999968, 4091838.1437)]"
"[(322058.8971000016, 4091976.3368000016)]"
"[(427693.3856000006, 4092035.0977)]"
"[(362016.1052000001, 4092672.6834999993)]"
"[(410080.95059999824, 4092745.3280999996)]"
"[(408278.7114999965, 4092884.2063999996)]"
"[(323236.1444000006, 4092954.416000001)]"
"[(395116.874499999, 4093030.5144000016)]"
"[(363940.9236000031, 4093080.5080999993)]"
"[(387057.45220000297, 4093102.406100001)]"
"[(421431.2924999967, 4093181.647999998)]"
"[(398690.07670000196, 4093194.4219000004)]"
"[(403683.17329999804, 4093304.675900001)]"
"[(333651.9822999984, 4093349.795499999)]"
